Label,Precision,Recall,F1,Support
Medical material,0.0,0.0,0.0,158
Arterial wall calcification,0.3213213213213213,0.9839080459770115,0.4844368986983588,435
Cardiomegaly,0.3089770354906054,0.9024390243902439,0.4603421461897355,164
Pericardial effusion,0.0,0.0,0.0,110
Coronary artery wall calcification,0.2982005141388175,0.8969072164948454,0.4475884244372991,388
Hiatal hernia,0.09615384615384616,0.022935779816513763,0.037037037037037035,218
Lymphadenopathy,0.0,0.0,0.0,398
Emphysema,0.0,0.0,0.0,305
Atelectasis,0.75,0.008241758241758242,0.01630434782608696,364
Lung nodule,0.47405452946350046,0.765625,0.5855513307984791,704
Lung opacity,0.0,0.0,0.0,606
Pulmonary fibrotic sequela,0.0,0.0,0.0,427
Pleural effusion,0.0,0.0,0.0,189
Mosaic attenuation pattern,0.0,0.0,0.0,126
Peribronchial thickening,0.25,0.005714285714285714,0.011173184357541898,175
Consolidation,0.0,0.0,0.0,298
Bronchiectasis,0.0,0.0,0.0,169
Interlobular septal thickening,0.0,0.0,0.0,124
Weighted Average,0.18245515776127996,0.27472937663307206,0.16574893102240454,5358
