Label,Precision,Recall,F1,Support
Medical material,0.0,0.0,0.0,158
Arterial wall calcification,0.5789473684210527,0.12643678160919541,0.20754716981132082,435
Cardiomegaly,1.0,0.006097560975609756,0.012121212121212121,164
Pericardial effusion,0.0,0.0,0.0,110
Coronary artery wall calcification,0.5585585585585585,0.15979381443298968,0.24849699398797592,388
Hiatal hernia,0.19331742243436753,0.37155963302752293,0.25431711145996855,218
Lymphadenopathy,0.0,0.0,0.0,398
Emphysema,0.41379310344827586,0.19672131147540983,0.26666666666666666,305
Atelectasis,0.3776824034334764,0.24175824175824176,0.2948073701842546,364
Lung nodule,0.5183016105417276,0.5028409090909091,0.510454217736121,704
Lung opacity,0.5594594594594594,0.3415841584158416,0.4241803278688525,606
Pulmonary fibrotic sequela,0.35784313725490197,0.17096018735362997,0.23137876386687795,427
Pleural effusion,0.5714285714285714,0.21164021164021163,0.3088803088803089,189
Mosaic attenuation pattern,0.5454545454545454,0.09523809523809523,0.16216216216216217,126
Peribronchial thickening,0.0,0.0,0.0,175
Consolidation,0.16666666666666666,0.003355704697986577,0.006578947368421053,298
Bronchiectasis,0.3,0.01775147928994083,0.033519553072625705,169
Interlobular septal thickening,0.38461538461538464,0.04032258064516129,0.072992700729927,124
Weighted Average,0.39564974774617,0.1944755505785741,0.2320774718801995,5358
